"OBJECTID","ID","X","Y","NAME","STATE","CSVRID","CYCAVAIL","CYCBACK","TIME","ADDR","CALL","SERVICE","TYPE"
"25","73d2abf0-7456-49ba-aa28-2d00567c7ca7","120.200175","30.268366","新塘路二十二号","无人值守","3253.000000","6.000000","15.000000","租车06:00~21:00，还车06:00~22:00","新塘路202号对面","0.000000"," "," "
"26","6f01bcb1-66c6-4a08-b461-38438014f66d","120.200393","30.266739","新塘路一六四号","无人值守","3254.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","新塘路164号对面","0.000000"," "," "
"27","394a8504-df1e-4f6a-aac8-5f841ede2ec3","120.205437","30.280139","艮山西路章家坝站","无人值守","3256.000000","2.000000","19.000000","租车06:00~21:00，还车06:00~22:00","艮山西路章家坝站（南）","0.000000"," "," "
"28","56b41e1e-3b73-4808-8450-57c1f77e669e","120.202065","30.278859","艮山西路汽车东站","无人值守","3257.000000","15.000000","17.000000","租车06:00~21:00，还车06:00~22:00","艮山西路汽车东站（北）新理想高复前","0.000000"," "," "
"29","d3e00d43-e310-4475-a880-42a76f292e9b","120.238977","30.319137","九环路","无人值守","3258.000000","11.000000","10.000000","租车06:00~21:00，还车06:00~22:00","九环路万科楼盘对面车站旁","0.000000"," "," "
"30","dce3fe6f-c5ef-4a8a-b98f-44e614288f5a","120.194611","30.261324","秋涛北路78号","无人值守","3313.000000","15.000000","15.000000","租车06:00~21:00，还车06:00~22:00","秋涛北路79号，国美电器","0.000000"," "," "
"31","1d2d6a8c-4a9c-43fe-a0f4-7116d71842cb","120.220229","30.351284","环丁路勤丰路口","无人值守","3314.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","环丁路勤丰路口","0.000000"," "," "
"32","ef3c8d8f-ba25-4f0f-8f69-d053603452da","120.219549","30.351140","勤丰路环丁路口","无人值守","3315.000000","2.000000","19.000000","租车06:00~21:00，还车06:00~22:00","勤丰路环丁路口幼儿园","0.000000"," "," "
"33","5c8f6e69-751a-478f-b5d0-a3340911e5b8","120.209513","30.336809","石大线北横塘6区55号","无人值守","3317.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","石大线北横塘六区五十五号","0.000000"," "," "
"34","e1d92ba5-adc9-4996-b79e-4d856d3a45f3","120.208313","30.335766","石大线北横塘六区七十二号","无人值守","3318.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","石大线北横塘6区72号","0.000000"," "," "
"35","bd63fb65-d93a-4035-8619-7c02b5f4f24c","120.209895","30.336533","石大线南横塘五区四十一号","无人值守","3320.000000","21.000000","0.000000","租车06:00~21:00，还车06:00~22:00","石大线南横塘5区41号左侧万里汽车修理公司","0.000000"," "," "
"36","2a44bdf0-a040-4f1a-b279-73528168f1e3","120.213716","30.339740","石大线南笕丁路口","无人值守","3322.000000","10.000000","11.000000","租车06:00~21:00，还车06:00~22:00","石大线南笕丁路口","0.000000"," "," "
"37","03057ea2-fcbe-4d6b-ae2e-d9f2fa84ebae","120.207893","30.334885","石大线南横塘桥","无人值守","3323.000000","21.000000","0.000000","租车06:00~21:00，还车06:00~22:00","石大线南横塘桥下转角万里汽车修理公司","0.000000"," "," "
"38","e34baa5a-fb79-4eb0-bf9b-4edf003386da","120.196464","30.321434","俞章村公园","无人值守","3324.000000","2.000000","19.000000","租车06:00~21:00，还车06:00~22:00","俞章村2区37号前","0.000000"," "," "
"39","b26e3d5f-1a55-4682-b428-81ffb9e30501","120.194677","30.321498","俞章村老年活动中心","无人值守","3326.000000","8.000000","13.000000","租车06:00~21:00，还车06:00~22:00","俞章村老年活动中心门前","0.000000"," "," "
"40","eb96130c-2d02-451f-bf68-6dee89f0bde8","120.181740","30.294218","顾家畈路红梅社区","无人值守","3327.000000","8.000000","13.000000","租车06:00~21:00，还车06:00~22:00","顾家畈路红梅社区内","0.000000"," "," "
"41","94fe2648-0deb-4b56-89ea-8b0c5027f908","120.217466","30.289636","备塘路明月桥路口","无人值守","3328.000000","8.000000","13.000000","租车06:00~21:00，还车06:00~22:00","备塘路明月桥路口，35路彭埠镇公交站","0.000000"," "," "
"42","24f8e200-1c0c-4653-9173-ba5322ebd67e","120.232286","30.286007","六堡社区","无人值守","3329.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","4号港路艮山西路口，六堡社区云官塘2区109号对面","0.000000"," "," "
"43","38c34306-d809-4114-8040-330253d06f36","120.239852","30.290783","七堡社区2","无人值守","3331.000000","3.000000","13.000000","租车06:00~21:00，还车06:00~22:00","七堡横街2号港路口","0.000000"," "," "
"44","1da4745a-58cf-493e-bd0d-a0af4a160fd1","120.197094","30.257601","庆春东路北","无人值守","3332.000000","5.000000","16.000000","租车06:00~21:00，还车06:00~22:00","庆春东路北秋天路口","0.000000"," "," "
"45","617b434f-b226-449b-94a1-43636cbedf3c","120.192573","30.257323","采荷小区紫藕坉","无人值守","3333.000000","3.000000","11.000000","租车06:00~21:00，还车06:00~22:00","庆春东路南采荷小区紫藕坉6幢","0.000000"," "," "
"46","9fa07c72-966e-4a90-a793-4e8b14657c2e","120.150075","30.370397","康明路","无人值守","4281.000000","8.000000","10.000000","租车06:00~21:00，还车06:00~22:00","康桥工业园区康景路东北角60米","0.000000"," "," "
"47","97f1b661-695e-4d23-a309-b2a23617f498","120.145066","30.369659","康政路十八号","无人值守","4282.000000","4.000000","16.000000","租车06:00~21:00，还车06:00~22:00","康桥工业园区康中路东北角30米","0.000000"," "," "
"48","fde5d66b-75d9-4403-a98b-5a0c93dc6036","120.140505","30.343571","拱康停车场","无人值守","4284.000000","8.000000","13.000000","租车06:00~21:00，还车06:00~22:00","拱康停车场北大门南侧","0.000000"," "," "
"49","639a1460-e232-41d7-945a-1aff34d3deb6","120.169795","30.374121","刘文村农贸市场","无人值守","4285.000000","12.000000","3.000000","租车06:00~21:00，还车06:00~22:00","刘文村电炉农贸市场旁","0.000000"," "," "
"50","127f87d5-50a6-4c8a-80cc-1266562e5f35","120.165138","30.365480","中轧营业房","无人值守","4286.000000","7.000000","14.000000","租车06:00~21:00，还车06:00~22:00","中轧营业房旁","0.000000"," "," "
"51","af1e7667-cfde-4a64-9efc-97434ee4911c","120.100050","30.337244","浙江省戒毒所","无人值守","4288.000000","4.000000","18.000000","租车06:00~21:00，还车06:00~22:00","浙江省戒毒所门口","0.000000"," "," "
"52","b8faeddf-a988-4b73-9031-04ff24e2b67b","120.098294","30.321333","秀月家园","无人值守","4289.000000","6.000000","17.000000","租车06:00~21:00，还车06:00~22:00","秀月家园南区正门对面","0.000000"," "," "
"53","52f198b7-0252-4207-9cf0-04e118caec5c","120.162511","30.264341","灯芯巷","无人值守","2165.000000","3.000000","18.000000","租车06:00~21:00，还车06:00~22:00","延安路灯芯巷社区南","15868130600.000000"," "," "
"54","172f63d3-671b-4a56-9711-8428a283d9fc","120.176946","30.339405","景成幼儿园","无人值守","2168.000000","5.000000","16.000000","租车06:00~21:00，还车06:00~22:00","竹清路151号景成幼儿园对面","15868130600.000000"," "," "
"55","40fed4e9-6d5a-4634-b645-dc36446f7ab6","120.173810","30.302952","长城机电西","无人值守","2169.000000","1.000000","23.000000","租车06:00~21:00，还车06:00~22:00","德胜路长城机电西侧","13454491000.000000"," "," "
"56","111efa4d-5c29-4ada-94ad-f6cf0eafdf97","120.190768","30.339930","亿城嘉园","无人值守","2170.000000","21.000000","3.000000","租车06:00~21:00，还车06:00~22:00","华丰路16号对面润和亿城嘉园门口","15868130500.000000"," "," "
"57","0eb25ac5-4979-43cf-bd51-813ad9743e20","120.189303","30.334825","华丰东苑康宁路口","无人值守","2171.000000","6.000000","15.000000","租车06:00~21:00，还车06:00~22:00","华中路华丰东苑康宁路口","15868130500.000000"," "," "
"87","0a028fff-fde6-4864-b8b5-cb6558e49477","120.189590","30.290507","耀江大酒店","无人值守","3121.000000","8.000000","16.000000","租车06:00~21:00，还车06:00~22:00","机场路秋涛路口","13606524400.000000"," "," "
"88","eb285a53-db3e-4573-98e9-99dc9306a0d1","120.189111","30.290740","机场路秋涛路路口","无人值守","3122.000000","1.000000","23.000000","租车06:00~21:00，还车06:00~22:00","机场路秋涛路北路口","13606524400.000000"," "," "
"89","70759b22-0b69-4c03-8291-25ab127234bd","120.185943","30.285688","机场路一巷路口","无人值守","3124.000000","9.000000","15.000000","租车06:00~21:00，还车06:00~22:00","机场路与机场路一巷路口","13606524400.000000"," "," "
"90","690c2a25-1b0c-478e-ace9-8f75bdf9288b","120.193170","30.277222","安琪儿市场-一","无人值守","3125.000000","5.000000","19.000000","租车06:00~21:00，还车06:00~22:00","艮秋墩东北北匝道02-1","15868123700.000000"," "," "
"91","32ef2411-3827-4d9d-8124-9bd4cd448608","120.190086","30.251855","采荷路三五号","无人值守","3126.000000","3.000000","18.000000","租车06:00~21:00，还车06:00~22:00","采荷路35号","15868124500.000000"," "," "
"92","a13ab18b-365f-40e9-b158-0bea6408265f","120.198056","30.257594","庆春东路北","无人值守","3128.000000","13.000000","8.000000","租车06:00~21:00，还车06:00~22:00","庆春东路邵医药店对面","15868130400.000000"," "," "
"93","9f0e246e-1428-469b-9b80-1f99649ae6de","120.198321","30.259651","太平门直街","无人值守","3129.000000","10.000000","11.000000","租车06:00~21:00，还车06:00~22:00","太平门直街309号对面","15868130400.000000"," "," "
"94","f21ca42e-c9e1-430d-95fd-ba6a4a874815","120.185996","30.268670","神农宾馆","无人值守","3130.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","凯旋路375号电杆，神农宾馆斜对面","13606522700.000000"," "," "
"95","c00d1f7c-c257-4685-8f7f-14490ce3bb74","120.186903","30.248542","清泰小区","无人值守","3131.000000","7.000000","14.000000","租车06:00~21:00，还车06:00~22:00","凯旋路清泰小区，杭州茶厂门口","15868124500.000000"," "," "
"96","3a8df73f-75b7-4efc-be1f-bae705891aed","120.308029","30.315235","学林街一一五三号","无人值守","3607.000000","1.000000","31.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","学术街1153号对面都尚购物中心前空地","15967122100.000000"," "," "
"97","77b4d6a6-d03b-4a6e-b6bf-e04ea06d424a","120.316571","30.318426","学源街文泽路东","无人值守","3608.000000","27.000000","5.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","学源街文泽路东南面快速公交站旁","15967122100.000000"," "," "
"98","a079d9e9-a036-4de0-9741-45b4f9c45e8a","120.330603","30.318102","中国计量学院大门左","无人值守","3609.000000","6.000000","26.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","学源街中国计量学院大门左侧50米","15967122100.000000"," "," "
"99","bd953723-30cf-4008-ba09-dc5e6a77f3a1","120.331749","30.313481","文津路四十一号","无人值守","3610.000000","13.000000","19.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","文津路41号南侧公交中心站人行道上","15967122100.000000"," "," "
"100","46f13bf5-4f72-4cb6-b71e-ff23068c9b2f","120.339170","30.314622","学林街六零六号","无人值守","3612.000000","1.000000","31.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","学林街606号浙江水利水电学校生活区左侧","15967122100.000000"," "," "
"101","151f13a8-0b8b-48fa-9448-9a10b344ffa1","120.345883","30.312495","文瀚路学林街西","无人值守","3613.000000","3.000000","29.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","文瀚路学林街西南面人行道上","15967122100.000000"," "," "
"102","699086f9-9ad7-4c1b-b137-c8cf74a0f59d","120.355063","30.313078","杭州师范大学右","无人值守","3614.000000","37.000000","-5.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","学林街杭州师范大学大门右侧","15967122100.000000"," "," "
"103","bff734e3-100b-4191-b6d6-0fda4b87976a","120.352046","30.310392","钱江湾二十五幢前","无人值守","3616.000000","31.000000","1.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","2号大街浙江工商大学图书馆对面钱江湾25幢前","15967122100.000000"," "," "
"104","6b0ed6df-f4a2-410c-b15e-58617da6a802","120.343973","30.305961","学正街八零九号","无人值守","3617.000000","3.000000","29.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","学正街809号文海中学对面人行道上","15967122100.000000"," "," "
"105","82d80a2a-37ad-4ec3-a1cc-c6709d848553","120.351363","30.305920","浙江工商大学正门","无人值守","3618.000000","19.000000","13.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","学正街27号大街东北面浙江工商大学正门右侧","15967122100.000000"," "," "
"106","e8e0f982-7a94-4b19-a4f2-d27513b7fc48","120.346151","30.301807","杭州第四中学正门","无人值守","3619.000000","4.000000","28.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","6号大街25号大街西北角100米杭州第四中学正门左侧","15967122100.000000"," "," "
"107","6c24fdaf-828d-42e5-8953-805cc194a819","120.350199","30.301865","六号大街三四二号","无人值守","3620.000000","4.000000","28.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","6号大街342号云水苑农贸市场右侧人行道","15967122100.000000"," "," "
"108","8e882264-9e2c-46ac-aadc-a8bcd8659159","120.349075","30.289144","听涛路二十五号","无人值守","3622.000000","16.000000","16.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","听涛路25号路口公交373路终点站旁","15967122100.000000"," "," "
"109","a8cf7b3d-5f8d-4e7c-8cd8-d63a5c851f12","120.334592","30.301906","六号大街科技园路西","无人值守","3623.000000","26.000000","6.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","6号大街科技园路西北角快速公交站后面绿化带上","15967122100.000000"," "," "
"110","f92c57af-d90b-4889-946c-bd5054e85319","120.323733","30.336881","经四支路农艮路口西","无人值守","3624.000000","26.000000","6.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","经四支路农艮路口西北侧浙江下沙荣成包装有限公司对面","15967122100.000000"," "," "
"111","2c4cf89f-3440-4dd1-a791-cfc6ab8f5d1d","120.326324","30.330373","纬三路经四支路东","无人值守","3626.000000","22.000000","10.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","纬三路经四支路东北面杭州中粮包装有限公司","15967122100.000000"," "," "
"112","e82e95b1-8bb8-4802-a126-66245b8e2b65","120.327134","30.292234","十二号大街十一号大街东","无人值守","3630.000000","10.000000","22.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","12号大街11号大街东南面150米公交站后面","15967122100.000000"," "," "
"113","e245d3ab-8f0a-4aa8-8482-10d6d9d09807","120.325842","30.286736","十四号大街六四四号","无人值守","3632.000000","9.000000","23.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","14号大街644号前人行道上15号大街口","15967122100.000000"," "," "
"114","ea61275e-f50a-41a7-a7a3-f73d3444d8f6","120.334411","30.336252","文津北路农垦路口西","无人值守","3627.000000","6.000000","26.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","文津北路农垦路口西北面普洛斯物流大门右侧绿化带","15967122100.000000"," "," "
"115","a4ba2fd8-42c3-4a65-8d79-5a0064e90961","120.325421","30.281394","津东路十六号大街西","无人值守","3633.000000","26.000000","6.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","津东路16号大街西南面三针服饰杭州有限公司对面人行道上","15967122100.000000"," "," "
"116","0f7c3598-e058-4412-a249-193381010b0b","120.319102","30.271816","十三号大街二十二号街口","无人值守","3634.000000","23.000000","9.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","13号A大街22号街口东北面顾家工艺对面","15967122100.000000"," "," "
"117","dbcc0a38-afd1-4940-915b-6421e13f508f","120.333850","30.271422","二十二号大街十八号","无人值守","3636.000000","7.000000","25.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","22号大街18号杭州中能汽轮动力有限公司","15967122100.000000"," "," "
"118","4bbe7a4b-c11d-4f46-ae7c-a4fe42bb9613","120.340201","30.282320","十六号大街二十一号路口","无人值守","3637.000000","1.000000","31.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","16号大街21号路口东北角100米西门子高压开关厂对面","15967122100.000000"," "," "
"119","af4659c9-a363-4448-a8c7-9d2c81814aca","120.344497","30.277701","二十三号大街七十七号","无人值守","3638.000000","21.000000","11.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","23号大街77号大门右侧摩菲仪器仪表有限公司旁","15967122100.000000"," "," "
"120","88ec41a3-2b05-4188-ad14-0340f90bd9ad","120.301670","30.332157","杭州聋人学校","无人值守","3639.000000","26.000000","6.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","元成路杭州聋人学校正门左侧围墙边东侧","15967122100.000000"," "," "
"121","f6952f06-987d-4043-9d75-15d84fb1d45b","120.333732","30.295498","十九号大街五七一号","无人值守","3641.000000","5.000000","27.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","19号大街571号杭州下沙电子商务园","15967122100.000000"," "," "
"122","ae782e93-ecaa-48b6-94f4-4618a4f6ed0b","120.094219","30.334028","亲亲家园","无人值守","7301.000000","4.000000","17.000000","租车06:00~21:00，还车06:00~22:00","董家路亲亲家园门口西侧人行道","15868119600.000000"," "," "
"123","af921c62-2867-40c1-8243-bc4fee760af3","120.092374","30.338019","金家渡路","无人值守","7302.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","亲亲家园社区大楼西南侧","0.000000"," "," "
"124","9952fb0a-6a99-467d-8f29-8b7573761a35","120.089293","30.334921","亲亲家园","无人值守","7303.000000","5.000000","16.000000","租车06:00~21:00，还车06:00~22:00","亲亲家园广场南侧","0.000000"," "," "
"125","3dd21b7a-bfe3-452c-878a-4c5b08abe1a0","120.087301","30.334952","古墩路金家渡路西","无人值守","7306.000000","8.000000","1.000000","租车06:00~21:00，还车06:00~22:00","亲亲家园三期三和大街88-1东侧","0.000000"," "," "
"126","5d424fab-e2d1-456f-a532-98c2162c885d","120.315117","30.324602","纬一路三九八号","无人值守","3628.000000","7.000000","25.000000","4-10月租车时间6:00-21:00   11-3月租车时间6:30-20:00，还车时间顺延半小时。","纬一路398号右侧锦阳人力公司大门右侧","15967122100.000000"," "," "
"127","ed11438a-76cf-4f3f-b9e9-16f7250bc714","120.192387","30.248028","解放东路（南）","无人值守","3002.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","杭泵服装市场（鞋区）门前人行道","15868124500.000000"," "," "
"128","a84879c3-4ece-4670-94d2-2dec28ad41db","120.186729","30.250460","凯旋路","无人值守","3003.000000","15.000000","6.000000","租车06:00~21:00，还车06:00~22:00","凯旋路王星记扇厂门前人行道","15868124500.000000"," "," "
"129","7921d46b-54ea-4c66-8893-b3fbfa9fdc2b","120.186647","30.276119","艮山西路北","有人值守","3004.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","天杭饭店门口、过街地道口","13606522700.000000"," "," "
"130","9cad5727-77ba-4418-9677-3a4fa32858fa","120.183561","30.289426","闸弄口街道","无人值守","3005.000000","2.000000","19.000000","租车06:00~21:00，还车06:00~22:00","机场路一巷88号前闸弄口街道门前","13606516800.000000"," "," "
"131","6637e494-c079-4d5c-a49a-9ef1357560ed","120.189943","30.277675","艮山支三路","无人值守","3007.000000","2.000000","19.000000","租车06:00~21:00，还车06:00~22:00","闸弄口新村内艮山路小学左侧","13606522700.000000"," "," "
"132","4b22fe99-7c32-423c-bdf0-ec1a63eb4b07","120.183187","30.295691","三里亭站","有人值守","3008.000000","13.000000","8.000000","24小时","三里亭公交中心站对面（中心站）","13606516800.000000"," ","24小时点"
"133","b8fb7ae8-6913-4399-b965-3ae4a9a71d15","120.185853","30.275442","闸弄口新村","无人值守","3009.000000","6.000000","15.000000","租车06:00~21:00，还车06:00~22:00","BRT闸弄口新村站南","13606522700.000000"," "," "
"134","facf49ac-ef4b-4ca4-b922-6534c0670c77","120.193526","30.252439","五安路口","无人值守","3011.000000","4.000000","17.000000","租车06:00~21:00，还车06:00~22:00","五安路1号对面采荷街道社区服务中心","15868130400.000000"," "," "
"135","f7f7a5d0-7c7d-4580-8a13-80dfcd14e436","120.181280","30.293041","红梅社区","无人值守","3012.000000","2.000000","19.000000","租车06:00~21:00，还车06:00~22:00","顾家坂路117#红梅社区旁","13606516800.000000"," "," "
"136","f6bae945-d9d9-4ce2-89c1-33dc3d55f8e7","120.193441","30.240941","秋涛路西","无人值守","3013.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","秋涛路近江食品市场南侧人行道","15868124500.000000"," "," "
"137","8569b737-8fdf-450e-b129-56b4d52446e0","120.245245","30.326105","九福路公交站","无人值守","3017.000000","21.000000","0.000000","租车06:00~21:00，还车06:00~22:00","357，358终点站旁","13454490900.000000"," "," "
"58","c6dd205c-51d8-430f-a1d1-61f214bcc21e","120.188995","30.338638","华丰东苑","无人值守","2172.000000","1.000000","20.000000","租车06:00~21:00，还车06:00~22:00","华中路华丰东苑亿城嘉园6幢对面","15868130500.000000"," "," "
"59","a98c16ed-4215-4f94-8214-7729de2d1edc","120.185680","30.334646","求知小学","无人值守","2174.000000","12.000000","9.000000","租车06:00~21:00，还车06:00~22:00","康宁路1-4号对面","15868130500.000000"," "," "
"60","b43fd8ba-82ff-4682-8911-97492b6d411e","120.181310","30.336211","杭州轴承厂","无人值守","2175.000000","17.000000","4.000000","租车06:00~21:00，还车06:00~22:00","石桥路杭州轴承厂","15868130500.000000"," "," "
